Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,-0.005,0.197,1.924,595.93,hyp,km,None,None
3,0.018,0.202,1.548,743.304,hyp,km,None,None
4,0.023,0.259,1.101,1225.81,hyp,km,None,None
5,0.017,0.267,1.137,1168.509,hyp,km,None,None
6,0.022,0.256,1.063,1206.952,hyp,km,None,None
7,0.018,0.233,1.08,1144.603,hyp,km,None,None
8,0.008,0.229,1.096,1135.52,hyp,km,None,None
9,0.005,0.222,1.119,1078.363,hyp,km,None,None
2,-0.053,0.264,1.413,1028.186,hyp,agg,euclidean,ward
3,0.041,0.284,1.16,967.626,hyp,agg,euclidean,ward
4,0.025,0.217,1.068,1037.702,hyp,agg,euclidean,ward
5,0.017,0.222,1.136,964.354,hyp,agg,euclidean,ward
6,0.042,0.203,1.233,943.069,hyp,agg,euclidean,ward
7,0.04,0.202,1.14,932.195,hyp,agg,euclidean,ward
8,0.018,0.177,1.246,932.506,hyp,agg,euclidean,ward
9,0.018,0.18,1.173,926.552,hyp,agg,euclidean,ward
2,-0.064,0.463,1.098,845.721,hyp,agg,euclidean,complete
3,-0.042,0.466,0.813,605.441,hyp,agg,euclidean,complete
4,-0.043,0.454,0.735,440.082,hyp,agg,euclidean,complete
5,0.198,0.412,0.815,520.95,hyp,agg,euclidean,complete
6,0.195,0.387,0.774,494.991,hyp,agg,euclidean,complete
7,0.08,0.116,1.021,534.955,hyp,agg,euclidean,complete
8,0.08,0.114,0.984,482.726,hyp,agg,euclidean,complete
9,0.08,0.108,1.005,441.406,hyp,agg,euclidean,complete
2,0.036,0.809,0.232,244.46,hyp,agg,euclidean,average
3,0.034,0.77,0.284,189.76,hyp,agg,euclidean,average
4,0.305,0.556,0.503,297.816,hyp,agg,euclidean,average
5,0.232,0.474,0.616,355.514,hyp,agg,euclidean,average
6,0.162,0.456,0.646,469.971,hyp,agg,euclidean,average
7,0.161,0.438,0.691,399.824,hyp,agg,euclidean,average
8,0.156,0.33,0.726,351.128,hyp,agg,euclidean,average
9,0.214,0.278,0.791,343.938,hyp,agg,euclidean,average
2,0.036,0.809,0.232,244.46,hyp,agg,euclidean,single
3,0.035,0.79,0.2,165.483,hyp,agg,euclidean,single
4,0.034,0.737,0.341,127.377,hyp,agg,euclidean,single
5,0.034,0.732,0.189,95.729,hyp,agg,euclidean,single
6,0.034,0.73,0.276,76.807,hyp,agg,euclidean,single
7,0.032,0.649,0.293,68.796,hyp,agg,euclidean,single
8,0.032,0.641,0.283,61.571,hyp,agg,euclidean,single
9,0.032,0.64,0.257,54.027,hyp,agg,euclidean,single
